description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Rua 31 Sul, Res. Sedgwick, 3 qtos, sendo 2 suítes.Aceito imóvel de menor valor!!!;Rua 31;Sul;89;3;2;3;2;720000;700;0;-
Apartamento 2 Quartos sendo 1 suíte;QI;Setor Industrial;-;2;1;2;1;360000;-;-;-
Vendo agio no Gamaggiore;Quadra 1;Setor Industrial;57;2;1;2;1;145000;-;-;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCA;Taguatinga Norte;48;2;0;1;1;245000;317;520;-
Apartamento reformado com 2 quartos à venda na SQN 116;SQN 116 Bloco H;Asa Norte;54;2;0;2;-;750000;461;0;-
Apartamento aconchegante, todo reformado, de 3 quartos, na SQS 106 Sul - Brasília - DF;-;Asa Sul;151;3;1;3;0;1680000;1500;3000;-
Gamaggiore 3 quartos;Setor de Indústrias;Setor Leste;-;3;1;2;2;360000;0;0;-
Apartamento para venda possui 61 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;CNB 6;Taguatinga Norte;61;2;1;2;1;345000;300;600;-
Apartamento lindo 2 Quartos com Garagem Com Móveis! Melhor Localização;QR 412 Conjunto 17;Samambaia Norte;96;2;-;1;1;235000;302;280;-
Agio Total Ville Setor Meireles - Brasília - DF Parcelas 570;QR 201;Santa Maria;-;2;-;1;1;55999;1;2;-
Apartamento para venda tem 62 metros quadrados com 3 quartos em Cruzeiro Novo - Brasília - DF;SHCES Quadra 509 Bloco B;Cruzeiro Novo;62;3;0;1;0;435000;360;900;-
EXCELENTE 04 QUARTOS - PENÍNSULA LAZER E URBANISMO - 159m2;Avenida das Araucárias;Sul;158;3;2;4;2;1395000;800;2000;-
Brasília - Apartamento Padrão - Águas Claras;-;Sul;95;3;2;3;2;820000;765;1394;-
CasaBlanca- Lindo 2 Quartos (Fino Acabamento) Águas Claras;Rua 24;Norte;74;2;1;2;2;715000;600;-;-
Apto 4 qtos av. Parque Águas Claras Residencial Plaza das Aguas;Avenida Parque Águas Claras;Norte;-;4;1;3;1;750000;-;1080;-
Apartamento para venda tem 402 metros quadrados com 4 quartos em Setor Noroeste - Brasília - DF;SQNW 309 Bloco C;Setor Noroeste;-;4;4;5;4;5192000;0;0;-
Apartamento para Venda em Brasília, Sul (Águas Claras), 1 dormitório, 1 banheiro, 1 vaga;Quadra 208;Sul;36;1;0;1;1;242000;390;700;-
Apartamento com 3 dormitórios à venda, 107 m² por R$ 1.579.000,00 - Noroeste - Brasília/DF;SQNW 109 Bloco A;Setor Noroeste;107;3;1;3;2;1579000;980;0;-
